Date,Open,High,Low,Close,Volume,Market.Cap,Coin,Delta
10/20/2017,330.9,332.98,323.08,327.44,"160,204,000","5,527,860,000",BCH,0.147581802
10/19/2017,339.27,339.27,326.27,330.81,"195,578,000","5,667,070,000",BCH,-0.272063782
10/18/2017,373.65,376.18,313.77,339.17,"477,184,000","6,240,990,000",BCH,-0.011502149
10/17/2017,313.7,394.96,309.64,371.73,"1,008,160,000","5,239,520,000",BCH,-0.053095375
10/16/2017,315.26,318.02,310.52,313.64,"117,797,000","5,265,400,000",BCH,0.001154154
10/15/2017,322.42,323.59,307.68,314.95,"133,385,000","5,384,760,000",BCH,-0.017219294
10/14/2017,321.54,327.42,317.35,321.96,"164,137,000","5,369,720,000",BCH,-0.063721718
10/13/2017,314.15,323.08,304.38,321.46,"288,210,000","5,242,630,000",BCH,-0.108913917
10/12/2017,315.47,330.13,310.71,313.21,"262,066,000","5,262,390,000",BCH,0.025139358
10/11/2017,320.2,321.26,312.13,314.9,"131,577,000","5,341,000,000",BCH,0.179020101
10/10/2017,313.22,352.02,311.7,321.59,"367,809,000","5,224,170,000",BCH,0.052068363
10/9/2017,342.76,342.76,289.04,314.16,"288,075,000","5,716,320,000",BCH,-0.149639957
10/8/2017,360.09,362.46,337,342.21,"203,754,000","6,004,940,000",BCH,0.050426271
10/7/2017,363.6,364.88,356.06,360.78,"91,004,000","6,062,860,000",BCH,-0.074056209
10/6/2017,355.44,371.28,354.96,363.01,"182,031,000","5,926,540,000",BCH,0.05739293
10/5/2017,358.42,371.19,348.45,355.75,"268,341,000","5,971,260,000",BCH,0.020685466
10/4/2017,404.2,404.45,354.55,358.45,"251,584,000","6,729,640,000",BCH,0.047130998
10/3/2017,421.79,421.79,395.74,404.18,"130,247,000","7,022,370,000",BCH,-0.072467415
10/2/2017,415.87,430.86,411.84,421.19,"219,590,000","6,921,580,000",BCH,-0.037953849
10/1/2017,433.38,436.94,415.15,415.15,"164,290,000","7,207,770,000",BCH,-0.007972647
9/30/2017,436.64,445.62,432.53,432.63,"150,565,000","7,258,880,000",BCH,-0.025799215
9/29/2017,447.66,447.92,426.99,436.77,"148,725,000","7,441,960,000",BCH,0.022310465
9/28/2017,456.71,465.2,433.5,447.81,"300,421,000","7,592,000,000",BCH,-0.062564363
9/27/2017,441.86,460,439.41,457.31,"197,885,000","7,343,490,000",BCH,-0.031202964
9/26/2017,445.36,458.25,441.83,441.83,"165,303,000","7,400,020,000",BCH,0.158825207
9/25/2017,419.65,450.13,419.65,445.8,"302,272,000","6,971,280,000",BCH,-0.171438441
9/24/2017,428.8,433.04,419.25,421.03,"114,527,000","7,121,950,000",BCH,-0.077095363
9/23/2017,415.31,432.96,407.45,428.5,"189,127,000","6,895,970,000",BCH,0.082520372
9/22/2017,417.92,435.44,402.77,415.09,"241,905,000","6,937,170,000",BCH,0.504872784
9/21/2017,475.83,480,413.75,416.26,"316,731,000","7,898,300,000",BCH,0.529898346
9/20/2017,526.74,527.72,471.09,476.05,"669,264,000","8,741,670,000",BCH,0.007517535
